"Time (s) Run #7","Voltage, Ch A (V) Run #7","Current, Ch D (A) Run #7","Charge (C) Run #7"
4.971,,,-0.14
4.971,9.230,-0.010,
4.971,,,-0.14
4.971,9.231,-0.010,
4.972,,,-0.14
4.972,9.230,-0.010,
4.972,,,-0.14
4.972,9.229,-0.010,
4.973,,,-0.14
4.973,9.231,-0.010,
4.973,,,-0.14
4.974,9.231,-0.010,
4.974,,,-0.14
4.974,9.232,-0.010,
4.974,,,-0.14
4.974,9.230,-0.010,
4.975,,,-0.14
4.975,9.233,-0.010,
4.975,,,-0.14
4.975,9.232,-0.010,
4.976,,,-0.14
4.976,9.232,-0.010,
4.976,,,-0.14
4.976,9.233,-0.010,
4.977,,,-0.14
4.977,9.232,-0.009,
4.977,,,-0.14
4.977,9.233,-0.010,
4.978,,,-0.14
4.978,9.233,-0.009,
4.978,,,-0.14
4.979,9.234,-0.010,
4.979,,,-0.14
4.979,9.233,-0.010,
4.979,,,-0.14
4.979,9.234,-0.010,
4.980,,,-0.14
4.980,9.235,-0.010,
4.980,,,-0.14
4.980,9.234,-0.010,
4.981,,,-0.14
4.981,9.235,-0.010,
4.981,,,-0.14
4.982,9.234,-0.010,
4.982,,,-0.14
4.982,9.235,-0.010,
4.982,,,-0.14
4.982,9.237,-0.010,
4.983,,,-0.14
4.983,9.236,-0.010,
4.983,,,-0.14
4.983,9.236,-0.010,
4.984,,,-0.14
4.984,9.237,-0.010,
4.984,,,-0.14
4.984,9.237,-0.010,
4.985,,,-0.14
4.985,9.238,-0.010,
4.985,,,-0.14
4.985,9.238,-0.010,
4.986,,,-0.14
4.986,9.238,-0.010,
4.986,,,-0.14
4.987,9.238,-0.010,
4.987,,,-0.14
4.987,9.240,-0.010,
4.987,,,-0.14
4.987,9.238,-0.010,
4.988,,,-0.14
4.988,9.240,-0.009,
4.988,,,-0.14
4.988,9.239,-0.010,
4.989,,,-0.14
4.989,9.240,-0.010,
4.989,,,-0.14
4.990,9.240,-0.010,
4.990,,,-0.14
4.990,9.241,-0.009,
4.990,,,-0.14
4.990,9.241,-0.010,
4.991,,,-0.14
4.991,9.240,-0.010,
4.991,,,-0.14
4.991,9.240,-0.010,
4.992,,,-0.14
4.992,9.240,-0.010,
4.992,,,-0.14
4.992,9.241,-0.010,
4.993,,,-0.14
4.993,9.242,-0.010,
4.993,,,-0.14
4.993,9.241,-0.009,
4.994,,,-0.14
4.994,9.240,-0.010,
4.994,,,-0.14
4.995,9.242,-0.010,
4.995,,,-0.14
4.995,9.242,-0.010,
4.995,,,-0.14
4.995,9.242,-0.010,
4.996,,,-0.14
4.996,9.241,-0.010,
4.996,,,-0.14
4.996,9.243,-0.010,
4.997,,,-0.14
4.997,9.244,-0.009,
4.997,,,-0.14
4.998,9.244,-0.010,
4.998,,,-0.14
4.998,9.244,-0.010,
4.998,,,-0.14
4.998,9.245,-0.010,
4.999,,,-0.14
4.999,9.244,-0.010,
4.999,,,-0.14
5.000,9.245,-0.010,
5.000,,,-0.14
5.000,9.245,-0.010,
5.000,,,-0.14
5.000,9.246,-0.010,
5.001,,,-0.14
5.001,9.245,-0.010,
5.001,,,-0.14
5.001,9.246,-0.010,
5.002,,,-0.14
5.002,9.248,-0.010,
5.002,,,-0.14
5.003,9.247,-0.010,
5.003,,,-0.14
5.003,9.247,-0.010,
5.003,,,-0.14
5.003,9.246,-0.010,
5.004,,,-0.14
5.004,9.247,-0.010,
5.004,,,-0.14
5.004,9.248,-0.010,
5.005,,,-0.14
5.005,9.248,-0.010,
5.005,,,-0.14
5.006,9.247,-0.010,
5.006,,,-0.14
5.006,9.248,-0.010,
5.006,,,-0.14
5.006,9.248,-0.010,
5.007,,,-0.14
5.007,9.250,-0.009,
5.007,,,-0.14
5.008,9.248,-0.009,
5.008,,,-0.14
5.008,9.249,-0.010,
5.008,,,-0.14
5.008,9.250,-0.009,
5.009,,,-0.14
5.009,9.249,-0.010,
5.009,,,-0.14
5.009,9.250,-0.010,
5.010,,,-0.14
5.010,9.250,-0.009,
5.010,,,-0.14
5.011,9.248,-0.010,
5.011,,,-0.14
5.011,9.249,-0.009,
5.011,,,-0.14
5.011,9.251,-0.009,
5.012,,,-0.14
5.012,9.251,-0.010,
5.012,,,-0.14
5.012,9.251,-0.009,
5.013,,,-0.14
5.013,9.253,-0.010,
5.013,,,-0.14
5.014,9.252,-0.010,
5.014,,,-0.14
5.014,9.251,-0.010,
5.014,,,-0.14
5.014,9.252,-0.010,
5.015,,,-0.14
5.015,9.253,-0.010,
5.015,,,-0.14
5.016,9.253,-0.010,
5.016,,,-0.14
5.016,9.252,-0.010,
5.016,,,-0.14
5.016,9.254,-0.010,
5.017,,,-0.14
5.017,9.254,-0.010,
5.017,,,-0.14
5.017,9.254,-0.010,
5.018,,,-0.14
5.018,9.255,-0.010,
5.018,,,-0.14
5.019,9.253,-0.010,
5.019,,,-0.14
5.019,9.256,-0.010,
5.019,,,-0.14
5.019,9.255,-0.010,
5.020,,,-0.14
5.020,9.255,-0.010,
5.020,,,-0.14
5.020,9.255,-0.010,
5.021,,,-0.14
5.021,9.256,-0.010,
5.021,,,-0.14
5.022,9.255,-0.010,
5.022,,,-0.14
5.022,9.256,-0.010,
5.022,,,-0.14
5.022,9.257,-0.009,
5.023,,,-0.14
5.023,9.256,-0.009,
5.023,,,-0.14
5.024,9.255,-0.010,
5.024,,,-0.14
5.024,9.257,-0.010,
5.024,,,-0.14
5.024,9.257,-0.009,
5.025,,,-0.14
5.025,9.257,-0.009,
5.025,,,-0.14
5.025,9.258,-0.009,
5.026,,,-0.14
5.026,9.257,-0.009,
5.026,,,-0.14
5.027,9.258,-0.009,
5.027,,,-0.14
5.027,9.257,-0.009,
5.027,,,-0.14
5.027,9.260,-0.009,
5.028,,,-0.14
5.028,9.259,-0.009,
5.028,,,-0.14
5.028,9.258,-0.010,
5.029,,,-0.14
5.029,9.261,-0.009,
5.029,,,-0.14
5.030,9.258,-0.010,
5.030,,,-0.14
5.030,9.261,-0.009,
5.030,,,-0.14
5.030,9.260,-0.010,
5.031,,,-0.14
5.031,9.260,-0.010,
5.031,,,-0.14
5.032,9.261,-0.010,
5.032,,,-0.14
5.032,9.262,-0.009,
5.032,,,-0.14
5.032,9.261,-0.010,
5.033,,,-0.14
5.033,9.262,-0.010,
5.033,,,-0.14
5.033,9.261,-0.010,
5.034,,,-0.14
5.034,9.263,-0.010,
5.034,,,-0.14
5.035,9.262,-0.010,
5.035,,,-0.14
5.035,9.263,-0.010,
5.035,,,-0.14
5.035,9.264,-0.010,
5.036,,,-0.14
5.036,9.264,-0.010,
5.036,,,-0.14
5.036,9.264,-0.010,
5.037,,,-0.14
5.037,9.264,-0.010,
5.037,,,-0.14
5.038,9.265,-0.010,
5.038,,,-0.14
5.038,9.265,-0.009,
5.038,,,-0.14
5.038,9.265,-0.010,
5.039,,,-0.14
5.039,9.265,-0.010,
5.039,,,-0.14
5.040,9.266,-0.009,
5.040,,,-0.14
5.040,9.265,-0.010,
5.040,,,-0.14
5.040,9.265,-0.010,
5.041,,,-0.14
5.041,9.266,-0.009,
5.041,,,-0.14
5.041,9.266,-0.009,
5.042,,,-0.14
5.042,9.267,-0.009,
5.042,,,-0.14
5.043,9.268,-0.009,
5.043,,,-0.14
5.043,9.267,-0.009,
5.043,,,-0.14
5.043,9.267,-0.009,
5.044,,,-0.14
5.044,9.266,-0.009,
5.044,,,-0.14
5.044,9.266,-0.009,
5.045,,,-0.14
5.045,9.268,-0.010,
5.045,,,-0.14
5.046,9.268,-0.010,
5.046,,,-0.14
5.046,9.268,-0.010,
5.046,,,-0.14
5.046,9.268,-0.010,
5.047,,,-0.14
5.047,9.269,-0.009,
5.047,,,-0.14
5.048,9.268,-0.010,
5.048,,,-0.14
5.048,9.269,-0.010,
5.048,,,-0.14
5.048,9.269,-0.009,
5.049,,,-0.14
5.049,9.270,-0.010,
5.049,,,-0.14
5.049,9.270,-0.010,
5.050,,,-0.14
5.050,9.271,-0.010,
5.050,,,-0.14
5.051,9.270,-0.010,
5.051,,,-0.14
5.051,9.270,-0.010,
5.051,,,-0.14
5.051,9.272,-0.010,
5.052,,,-0.14
5.052,9.272,-0.010,
5.052,,,-0.14
5.052,9.273,-0.010,
5.053,,,-0.14
5.053,9.273,-0.010,
5.053,,,-0.14
5.054,9.273,-0.010,
5.054,,,-0.14
5.054,9.273,-0.010,
5.054,,,-0.14
5.054,9.272,-0.010,
5.055,,,-0.14
5.055,9.274,-0.009,
5.055,,,-0.14
5.056,9.273,-0.010,
5.056,,,-0.14
5.056,9.274,-0.010,
5.056,,,-0.14
5.056,9.275,-0.009,
5.057,,,-0.14
5.057,9.272,-0.009,
5.057,,,-0.14
5.057,9.273,-0.009,
5.058,,,-0.14
5.058,9.275,-0.009,
5.058,,,-0.14
5.059,9.274,-0.009,
5.059,,,-0.14
5.059,9.276,-0.009,
5.059,,,-0.14
5.059,9.276,-0.009,
5.060,,,-0.14
5.060,9.274,-0.009,
5.060,,,-0.14
5.060,9.274,-0.009,
5.061,,,-0.14
5.061,9.274,-0.009,
5.061,,,-0.14
5.061,9.276,-0.009,
5.062,,,-0.14
5.062,9.276,-0.009,
5.062,,,-0.14
5.062,9.276,-0.009,
5.063,,,-0.14
5.063,9.277,-0.009,
5.063,,,-0.14
5.064,9.277,-0.010,
5.064,,,-0.14
5.064,9.278,-0.009,
5.064,,,-0.14
5.064,9.277,-0.010,
5.065,,,-0.14
5.065,9.277,-0.010,
5.065,,,-0.14
5.065,9.278,-0.010,
5.066,,,-0.14
5.066,9.278,-0.010,
5.066,,,-0.14
5.067,9.279,-0.010,
5.067,,,-0.14
5.067,9.279,-0.010,
5.067,,,-0.14
5.067,9.280,-0.010,
5.068,,,-0.14
5.068,9.279,-0.010,
5.068,,,-0.14
5.068,9.280,-0.010,
5.069,,,-0.14
5.069,9.281,-0.010,
5.069,,,-0.14
5.069,9.280,-0.010,
5.070,,,-0.14
5.070,9.282,-0.010,
5.070,,,-0.14
5.070,9.282,-0.009,
5.071,,,-0.14
5.071,9.281,-0.009,
5.071,,,-0.14
5.072,9.281,-0.010,
5.072,,,-0.14
5.072,9.281,-0.010,
5.072,,,-0.14
5.072,9.282,-0.009,
5.073,,,-0.14
5.073,9.283,-0.010,
5.073,,,-0.14
5.073,9.283,-0.009,
5.074,,,-0.14
5.074,9.283,-0.009,
5.074,,,-0.14
5.075,9.283,-0.009,
5.075,,,-0.14
5.075,9.282,-0.009,
5.075,,,-0.14
5.075,9.284,-0.009,
5.076,,,-0.14
5.076,9.284,-0.009,
5.076,,,-0.14
5.076,9.283,-0.009,
5.077,,,-0.14
5.077,9.283,-0.009,
5.077,,,-0.14
5.077,9.284,-0.009,
5.078,,,-0.14
5.078,9.282,-0.009,
5.078,,,-0.14
5.078,9.283,-0.009,
5.079,,,-0.14
5.079,9.284,-0.009,
5.079,,,-0.14
5.080,9.285,-0.010,
5.080,,,-0.14
5.080,9.286,-0.009,
5.080,,,-0.14
5.080,9.286,-0.009,
5.081,,,-0.14
5.081,9.286,-0.010,
5.081,,,-0.14
5.081,9.285,-0.009,
5.082,,,-0.14
5.082,9.286,-0.009,
5.082,,,-0.14
5.083,9.287,-0.010,
5.083,,,-0.14
5.083,9.287,-0.010,
5.083,,,-0.14
5.083,9.287,-0.010,
5.084,,,-0.14
5.084,9.288,-0.010,
5.084,,,-0.14
5.084,9.288,-0.010,
5.085,,,-0.14
5.085,9.288,-0.010,
5.085,,,-0.14
5.085,9.289,-0.010,
5.086,,,-0.14
5.086,9.289,-0.010,
5.086,,,-0.14
5.086,9.288,-0.009,
5.087,,,-0.14
5.087,9.289,-0.010,
5.087,,,-0.14
5.088,9.289,-0.010,
5.088,,,-0.14
5.088,9.289,-0.009,
5.088,,,-0.14
5.088,9.291,-0.010,
5.089,,,-0.14
5.089,9.290,-0.009,
5.089,,,-0.14
5.089,9.292,-0.009,
5.090,,,-0.14
5.090,9.289,-0.009,
5.090,,,-0.14
5.091,9.291,-0.009,
5.091,,,-0.14
5.091,9.291,-0.009,
5.091,,,-0.14
5.091,9.291,-0.009,
5.092,,,-0.14
5.092,9.292,-0.009,
5.092,,,-0.14
5.092,9.292,-0.009,
5.093,,,-0.14
5.093,9.292,-0.009,
5.093,,,-0.14
5.093,9.292,-0.009,
5.094,,,-0.14
5.094,9.291,-0.009,
5.094,,,-0.14
5.094,9.291,-0.009,
5.095,,,-0.14
5.095,9.291,-0.009,
5.095,,,-0.14
5.096,9.293,-0.009,
5.096,,,-0.14
5.096,9.292,-0.009,
5.096,,,-0.14
5.096,9.293,-0.009,
5.097,,,-0.14
5.097,9.294,-0.009,
5.097,,,-0.14
5.097,9.294,-0.009,
5.098,,,-0.14
5.098,9.293,-0.010,
5.098,,,-0.14
5.099,9.293,-0.009,
5.099,,,-0.14
5.099,9.293,-0.010,
5.099,,,-0.14
5.099,9.294,-0.009,
5.100,,,-0.14
5.100,9.295,-0.010,
5.100,,,-0.14
5.100,9.296,-0.010,
5.101,,,-0.14
5.101,9.295,-0.010,
5.101,,,-0.14
5.101,9.295,-0.010,
5.102,,,-0.14
5.102,9.296,-0.010,
5.102,,,-0.14
5.102,9.297,-0.010,
5.103,,,-0.14
5.103,9.297,-0.010,
5.103,,,-0.14
5.104,9.298,-0.009,
5.104,,,-0.14
5.104,9.299,-0.009,
5.104,,,-0.14
5.104,9.297,-0.009,
5.105,,,-0.14
5.105,9.297,-0.009,
5.105,,,-0.14
5.105,9.298,-0.009,
5.106,,,-0.14
5.106,9.297,-0.009,
5.106,,,-0.14
5.107,9.298,-0.009,
5.107,,,-0.14
5.107,9.298,-0.009,
5.107,,,-0.14
5.107,9.299,-0.009,
5.108,,,-0.14
5.108,9.298,-0.009,
5.108,,,-0.14
5.108,9.299,-0.009,
5.109,,,-0.14
5.109,9.299,-0.009,
5.109,,,-0.14
5.109,9.298,-0.009,
5.110,,,-0.14
5.110,9.300,-0.009,
5.110,,,-0.14
5.110,9.299,-0.009,
5.111,,,-0.14
5.111,9.300,-0.009,
5.111,,,-0.14
5.112,9.300,-0.009,
5.112,,,-0.14
5.112,9.300,-0.009,
5.112,,,-0.14
5.112,9.302,-0.009,
5.113,,,-0.14
5.113,9.300,-0.009,
5.113,,,-0.14
5.113,9.302,-0.009,
5.114,,,-0.14
5.114,9.301,-0.009,
5.114,,,-0.14
5.115,9.302,-0.009,
5.115,,,-0.14
5.115,9.303,-0.009,
5.115,,,-0.14
5.115,9.302,-0.009,
5.116,,,-0.14
5.116,9.302,-0.010,
5.116,,,-0.14
5.116,9.302,-0.010,
5.117,,,-0.14
5.117,9.304,-0.009,
5.117,,,-0.14
5.117,9.303,-0.009,
5.118,,,-0.14
5.118,9.303,-0.009,
5.118,,,-0.14
5.118,9.306,-0.010,
5.119,,,-0.14
5.119,9.304,-0.010,
5.119,,,-0.14
5.120,9.305,-0.009,
5.120,,,-0.14
5.120,9.305,-0.009,
5.120,,,-0.14
5.120,9.305,-0.009,
5.121,,,-0.14
5.121,9.306,-0.009,
5.121,,,-0.14
5.121,9.305,-0.009,
5.122,,,-0.14
5.122,9.306,-0.009,
5.122,,,-0.14
5.123,9.307,-0.009,
5.123,,,-0.14
5.123,9.308,-0.009,
5.123,,,-0.14
5.123,9.306,-0.009,
5.124,,,-0.14
5.124,9.306,-0.009,
5.124,,,-0.14
5.125,9.308,-0.009,
5.125,,,-0.14
5.125,9.308,-0.009,
5.125,,,-0.14
5.125,9.307,-0.009,
5.126,,,-0.14
5.126,9.308,-0.009,
5.126,,,-0.14
5.126,9.308,-0.009,
5.127,,,-0.14
5.127,9.308,-0.009,
5.127,,,-0.14
5.128,9.307,-0.009,
5.128,,,-0.14
5.128,9.308,-0.009,
5.128,,,-0.14
5.128,9.308,-0.009,
5.129,,,-0.14
5.129,9.309,-0.009,
5.129,,,-0.14
5.129,9.308,-0.009,
5.130,,,-0.14
5.130,9.310,-0.009,
5.130,,,-0.14
5.131,9.310,-0.009,
5.131,,,-0.14
5.131,9.309,-0.010,
5.131,,,-0.14
5.131,9.311,-0.009,
5.132,,,-0.14
5.132,9.311,-0.009,
5.132,,,-0.14
5.133,9.311,-0.009,
5.133,,,-0.14
5.133,9.311,-0.009,
5.133,,,-0.14
5.133,9.311,-0.009,
5.134,,,-0.14
5.134,9.312,-0.009,
5.134,,,-0.14
5.134,9.313,-0.009,
5.135,,,-0.14
5.135,9.312,-0.009,
5.135,,,-0.14
5.136,9.314,-0.010,
5.136,,,-0.14
5.136,9.313,-0.009,
5.136,,,-0.14
5.136,9.313,-0.009,
5.137,,,-0.14
5.137,9.312,-0.009,
5.137,,,-0.14
5.137,9.313,-0.009,
5.138,,,-0.14
5.138,9.313,-0.009,
5.138,,,-0.14
5.139,9.313,-0.009,
5.139,,,-0.14
5.139,9.314,-0.009,
5.139,,,-0.14
5.139,9.313,-0.009,
5.140,,,-0.14
5.140,9.314,-0.009,
5.140,,,-0.14
5.141,9.315,-0.009,
5.141,,,-0.14
5.141,9.316,-0.009,
5.141,,,-0.14
5.141,9.316,-0.009,
5.142,,,-0.14
5.142,9.316,-0.009,
5.142,,,-0.14
5.142,9.316,-0.009,
5.143,,,-0.14
5.143,9.316,-0.009,
5.143,,,-0.14
5.144,9.315,-0.009,
5.144,,,-0.14
5.144,9.315,-0.009,
5.144,,,-0.14
5.144,9.315,-0.009,
5.145,,,-0.14
5.145,9.317,-0.009,
5.145,,,-0.14
5.145,9.316,-0.009,
5.146,,,-0.14
5.146,9.316,-0.009,
5.146,,,-0.14
5.147,9.317,-0.009,
5.147,,,-0.14
5.147,9.317,-0.009,
5.147,,,-0.14
5.147,9.318,-0.009,
5.148,,,-0.14
5.148,9.317,-0.010,
5.148,,,-0.14
5.149,9.318,-0.009,
5.149,,,-0.14
5.149,9.319,-0.009,
5.149,,,-0.14
5.149,9.319,-0.009,
5.150,,,-0.14
5.150,9.318,-0.009,
5.150,,,-0.14
5.150,9.320,-0.009,
5.151,,,-0.14
5.151,9.319,-0.009,
5.151,,,-0.14
5.152,9.321,-0.009,
5.152,,,-0.14
5.152,9.321,-0.010,
5.152,,,-0.14
5.152,9.321,-0.009,
5.153,,,-0.14
5.153,9.321,-0.010,
5.153,,,-0.14
5.153,9.321,-0.009,
5.154,,,-0.14
5.154,9.321,-0.009,
5.154,,,-0.14
5.155,9.321,-0.009,
5.155,,,-0.14
5.155,9.323,-0.009,
5.155,,,-0.14
5.155,9.322,-0.009,
5.156,,,-0.14
5.156,9.322,-0.009,
5.156,,,-0.14
5.157,9.321,-0.009,
5.157,,,-0.14
5.157,9.322,-0.009,
5.157,,,-0.14
5.157,9.323,-0.009,
5.158,,,-0.14
5.158,9.323,-0.009,
5.158,,,-0.14
5.158,9.323,-0.009,
5.159,,,-0.14
5.159,9.325,-0.009,
5.159,,,-0.14
5.160,9.324,-0.009,
5.160,,,-0.14
5.160,9.324,-0.009,
5.160,,,-0.14
5.160,9.322,-0.009,
5.161,,,-0.14
5.161,9.324,-0.009,
5.161,,,-0.14
5.161,9.324,-0.009,
5.162,,,-0.14
5.162,9.325,-0.008,
5.162,,,-0.14
5.163,9.325,-0.009,
5.163,,,-0.14
5.163,9.325,-0.009,
5.163,,,-0.14
5.163,9.325,-0.009,
5.164,,,-0.14
5.164,9.325,-0.009,
5.164,,,-0.14
5.165,9.327,-0.009,
5.165,,,-0.14
5.165,9.327,-0.009,
5.165,,,-0.14
5.165,9.325,-0.009,
5.166,,,-0.14
5.166,9.327,-0.009,
5.166,,,-0.14
5.166,9.327,-0.009,
5.167,,,-0.14
5.167,9.327,-0.009,
5.167,,,-0.14
5.168,9.328,-0.009,
5.168,,,-0.14
5.168,9.326,-0.009,
5.168,,,-0.14
5.168,9.328,-0.010,
5.169,,,-0.14
5.169,9.330,-0.009,
5.169,,,-0.14
5.169,9.330,-0.009,
5.170,,,-0.14
5.170,9.328,-0.009,
5.170,,,-0.14
5.171,9.329,-0.009,
5.171,,,-0.14
5.171,9.328,-0.009,
5.171,,,-0.14
5.171,9.329,-0.009,
5.172,,,-0.14
5.172,9.330,-0.009,
5.172,,,-0.14
5.173,9.330,-0.009,
5.173,,,-0.14
5.173,9.331,-0.009,
5.173,,,-0.14
5.173,9.330,-0.009,
5.174,,,-0.14
5.174,9.331,-0.008,
5.174,,,-0.14
5.174,9.330,-0.008,
5.175,,,-0.14
5.175,9.332,-0.009,
5.175,,,-0.14
5.176,9.332,-0.009,
5.176,,,-0.14
5.176,9.331,-0.009,
5.176,,,-0.14
5.176,9.332,-0.009,
5.177,,,-0.14
5.177,9.330,-0.008,
5.177,,,-0.14
5.177,9.332,-0.009,
5.178,,,-0.14
5.178,9.330,-0.009,
5.178,,,-0.14
5.179,9.332,-0.009,
5.179,,,-0.14
5.179,9.333,-0.008,
5.179,,,-0.14
5.179,9.331,-0.009,
5.180,,,-0.14
5.180,9.334,-0.009,
5.180,,,-0.14
5.181,9.333,-0.009,
5.181,,,-0.14
5.181,9.334,-0.009,
5.181,,,-0.14
5.181,9.332,-0.009,
5.182,,,-0.14
5.182,9.333,-0.009,
5.182,,,-0.14
5.182,9.334,-0.009,
5.183,,,-0.14
5.183,9.334,-0.009,
5.183,,,-0.14
5.184,9.336,-0.009,
5.184,,,-0.14
5.184,9.336,-0.009,
5.184,,,-0.14
5.184,9.335,-0.009,
5.185,,,-0.14
5.185,9.335,-0.009,
5.185,,,-0.14
5.185,9.337,-0.009,
5.186,,,-0.14
5.186,9.336,-0.009,
5.186,,,-0.14
5.186,9.336,-0.009,
5.187,,,-0.14
5.187,9.336,-0.009,
5.187,,,-0.14
5.187,9.337,-0.009,
5.188,,,-0.14
5.188,9.338,-0.009,
5.188,,,-0.14
5.189,9.336,-0.009,
5.189,,,-0.14
5.189,9.337,-0.009,
5.189,,,-0.14
5.189,9.337,-0.009,
5.190,,,-0.14
5.190,9.338,-0.008,
5.190,,,-0.14
5.190,9.338,-0.009,
5.191,,,-0.14
5.191,9.338,-0.009,
5.191,,,-0.14
5.192,9.338,-0.009,
5.192,,,-0.14
5.192,9.339,-0.009,
5.192,,,-0.14
5.192,9.339,-0.009,
5.193,,,-0.14
5.193,9.338,-0.009,
5.193,,,-0.14
5.193,9.340,-0.008,
5.194,,,-0.14
5.194,9.339,-0.009,
5.194,,,-0.14
5.194,9.340,-0.009,
5.195,,,-0.14
5.195,9.340,-0.009,
5.195,,,-0.14
5.195,9.340,-0.009,
5.196,,,-0.14
5.196,9.341,-0.009,
5.196,,,-0.14
5.197,9.339,-0.009,
5.197,,,-0.14
5.197,9.341,-0.009,
5.197,,,-0.14
5.197,9.341,-0.009,
5.198,,,-0.14
5.198,9.342,-0.009,
5.198,,,-0.14
5.198,9.342,-0.009,
5.199,,,-0.14
5.199,9.341,-0.009,
5.199,,,-0.14
5.200,9.342,-0.009,
5.200,,,-0.14
5.200,9.341,-0.009,
5.200,,,-0.14
5.200,9.343,-0.009,
5.201,,,-0.14
5.201,9.343,-0.009,
5.201,,,-0.14
5.201,9.343,-0.009,
5.202,,,-0.14
5.202,9.345,-0.009,
5.202,,,-0.14
5.202,9.345,-0.009,
5.203,,,-0.14
5.203,9.345,-0.009,
5.203,,,-0.14
5.203,9.343,-0.009,
5.204,,,-0.14
5.204,9.345,-0.009,
5.204,,,-0.14
5.205,9.345,-0.009,
5.205,,,-0.14
5.205,9.346,-0.009,
5.205,,,-0.14
5.205,9.346,-0.009,
5.206,,,-0.14
5.206,9.344,-0.009,
5.206,,,-0.14
5.206,9.347,-0.009,
5.207,,,-0.14
5.207,9.345,-0.008,
5.207,,,-0.14
5.208,9.346,-0.009,
5.208,,,-0.14
5.208,9.347,-0.008,
5.208,,,-0.14
5.208,9.347,-0.008,
5.209,,,-0.14
5.209,9.348,-0.009,
5.209,,,-0.14
5.209,9.347,-0.008,
5.210,,,-0.14
5.210,9.347,-0.008,
5.210,,,-0.14
5.210,9.346,-0.008,
5.211,,,-0.14
5.211,9.348,-0.008,
5.211,,,-0.14
5.211,9.347,-0.009,
5.212,,,-0.14
5.212,9.347,-0.009,
5.212,,,-0.14
5.213,9.348,-0.009,
5.213,,,-0.14
5.213,9.349,-0.009,
5.213,,,-0.14
5.213,9.349,-0.009,
5.214,,,-0.14
5.214,9.348,-0.009,
5.214,,,-0.14
5.214,9.349,-0.009,
5.215,,,-0.14
5.215,9.348,-0.009,
5.215,,,-0.14
5.216,9.349,-0.009,
5.216,,,-0.14
5.216,9.348,-0.009,
5.216,,,-0.14
5.216,9.350,-0.009,
5.217,,,-0.14
5.217,9.351,-0.009,
5.217,,,-0.14
5.217,9.351,-0.009,
5.218,,,-0.14
5.218,9.352,-0.009,
5.218,,,-0.14
5.218,9.352,-0.009,
5.219,,,-0.14
5.219,9.351,-0.009,
5.219,,,-0.14
5.219,9.352,-0.009,
5.220,,,-0.14
5.220,9.352,-0.009,
5.220,,,-0.14
5.221,9.351,-0.009,
5.221,,,-0.14
5.221,9.352,-0.009,
5.221,,,-0.14
5.221,9.353,-0.009,
5.222,,,-0.14
5.222,9.352,-0.009,
5.222,,,-0.14
5.222,9.353,-0.008,
5.223,,,-0.14
5.223,9.353,-0.009,
5.223,,,-0.14
5.224,9.353,-0.009,
5.224,,,-0.14
5.224,9.354,-0.008,
5.224,,,-0.14
5.224,9.355,-0.008,
5.225,,,-0.14
5.225,9.354,-0.008,
5.225,,,-0.14
5.225,9.354,-0.008,
5.226,,,-0.14
5.226,9.353,-0.008,
5.226,,,-0.14
5.226,9.354,-0.008,
5.227,,,-0.14
5.227,9.354,-0.008,
5.227,,,-0.14
5.227,9.354,-0.008,
5.228,,,-0.14
5.228,9.355,-0.009,
5.228,,,-0.14
5.229,9.355,-0.009,
5.229,,,-0.14
5.229,9.355,-0.009,
5.229,,,-0.14
5.229,9.355,-0.009,
5.230,,,-0.14
5.230,9.356,-0.008,
5.230,,,-0.14
5.230,9.356,-0.009,
5.231,,,-0.14
5.231,9.356,-0.009,
5.231,,,-0.14
5.232,9.357,-0.009,
5.232,,,-0.14
5.232,9.357,-0.009,
5.232,,,-0.14
5.232,9.358,-0.009,
5.233,,,-0.14
5.233,9.357,-0.009,
5.233,,,-0.14
5.233,9.358,-0.009,
5.234,,,-0.14
5.234,9.357,-0.009,
5.234,,,-0.14
5.234,9.357,-0.009,
5.235,,,-0.14
5.235,9.359,-0.009,
5.235,,,-0.14
5.235,9.359,-0.009,
5.236,,,-0.14
5.236,9.361,-0.009,
5.236,,,-0.14
5.237,9.358,-0.009,
5.237,,,-0.14
5.237,9.359,-0.009,
5.237,,,-0.14
5.237,9.359,-0.009,
5.238,,,-0.14
5.238,9.359,-0.009,
5.238,,,-0.14
5.238,9.361,-0.009,
5.239,,,-0.14
5.239,9.360,-0.009,
5.239,,,-0.14
5.240,9.361,-0.008,
5.240,,,-0.14
5.240,9.360,-0.009,
5.240,,,-0.14
5.240,9.361,-0.009,
5.241,,,-0.14
5.241,9.360,-0.009,
5.241,,,-0.14
5.241,9.360,-0.009,
5.242,,,-0.14
5.242,9.361,-0.008,
5.242,,,-0.14
5.242,9.360,-0.008,
5.243,,,-0.14
5.243,9.362,-0.008,
5.243,,,-0.14
5.243,9.360,-0.008,
5.244,,,-0.14
5.244,9.361,-0.008,
5.244,,,-0.14
5.245,9.361,-0.008,
5.245,,,-0.14
5.245,9.362,-0.008,
5.245,,,-0.14
5.245,9.362,-0.008,
5.246,,,-0.14
5.246,9.362,-0.008,
5.246,,,-0.14
5.246,9.363,-0.008,
5.247,,,-0.14
5.247,9.364,-0.008,
5.247,,,-0.14
5.248,9.363,-0.008,
5.248,,,-0.14
5.248,9.364,-0.009,
5.248,,,-0.14
5.248,9.362,-0.009,
5.249,,,-0.14
5.249,9.364,-0.009,
5.249,,,-0.14
